Make,Model,Trim,Year,URL
Lotus,Electre,Standard,2022,https://www.youtube.com/watch?v=WNitkuKZssE
Lotus,Electre,Standard,2022,https://www.youtube.com/watch?v=dTNlcoY14y0
Lotus,Electre,Standard,2022,https://www.youtube.com/watch?v=HFBZ1hnkA1M
Polestar,O2,Standard,2022,https://www.youtube.com/watch?v=JrmJSvarBxk
Polestar,O2,Standard,2022,https://www.youtube.com/watch?v=rrea69zGw4w
Polestar,O2,Standard,2022,https://www.youtube.com/watch?v=XFXhpj3X0nA
Rivian,R1T,Standard,2021,https://www.youtube.com/watch?v=A1uYhkMRLWg
Rivian,R1T,Standard,2021,https://www.youtube.com/watch?v=CYrunRy8hmw
Rivian,R1T,Standard,2021,https://www.youtube.com/watch?v=b92lqiBWbDo
VW,ID. Buzz,Standard,2023,https://www.youtube.com/watch?v=7q0mQ-9_gSY
VW,ID. Buzz,Standard,2023,https://www.youtube.com/watch?v=c8ZWp8lUvfI
VW,ID. Buzz,Standard,2023,https://www.youtube.com/watch?v=6eYM0gWHBAE
VW,ID. Buzz,Standard,2023,https://www.youtube.com/watch?v=OGV9-ERUzTI